query,timestamp
best dirty martini ,2024-08-04 03:16:37.622669+00
chilled desserts,2024-08-03 18:37:55.522254+00
brunch with a group of friends,2024-08-02 23:41:43.455106+00
brunch ,2024-08-02 23:14:17.160853+00
best old fashioned ,2024-08-02 20:53:03.155588+00
cool snacks,2024-08-02 18:57:39.481706+00
abraco,2024-08-02 16:28:35.088793+00
bao,2024-08-02 16:28:11.05341+00
acai bowl,2024-08-02 13:37:22.99636+00
bar in seattle,2024-08-01 19:05:28.310481+00
boba study,2024-07-31 19:19:37.381725+00
asian coffee,2024-07-31 12:27:03.974809+00
best cocktails,2024-07-31 01:30:51.798083+00
coctails,2024-07-31 01:30:26.059025+00
cozy coffeeshop,2024-07-30 15:56:45.964521+00
coffee meeting,2024-07-29 19:44:04.094952+00
cheap sushi,2024-07-28 19:54:41.497681+00
comfort food,2024-07-28 19:28:21.055903+00
coffee and work,2024-07-28 15:35:46.729007+00
cold noodles,2024-07-27 22:29:54.297843+00
bibimbap,2024-07-27 21:44:03.702207+00
brunch on a Brooklyn summer,2024-07-27 13:04:46.726697+00
clubs with a dance floor,2024-07-27 03:49:03.550821+00
arcade bars k town,2024-07-26 19:34:52.416174+00
313 vintage,2024-07-26 17:46:19.339152+00
bar for casual party,2024-07-26 02:55:26.511766+00
cocktail bars for large group,2024-07-26 02:52:17.390494+00
cowork in dumbo,2024-07-25 04:40:52.314277+00
95 rpm coffee,2024-07-24 17:56:20.015491+00
cocktail bar ,2024-07-24 12:19:45.879699+00
cafe that opens late,2024-07-23 19:23:08.284097+00
best pizza with views,2024-07-22 21:51:35.071777+00
cheap birthday,2024-07-22 20:23:32.016551+00
beekman new york,2024-07-21 23:05:36.545415+00
a nice sunday morning shopping and eating,2024-07-21 16:41:59.929543+00
breakfast near grand central,2024-07-21 14:08:17.04045+00
chinatown bar,2024-07-20 23:29:06.17226+00
bar ,2024-07-20 23:28:45.677942+00
cozy coffee shops,2024-07-20 17:29:12.298346+00
american,2024-07-19 22:15:42.197677+00
bowls,2024-07-19 16:48:56.172796+00
chill weeknight dinner,2024-07-19 02:36:46.060182+00
athens,2024-07-18 21:57:48.754651+00
anniversary dinner ,2024-07-18 12:05:58.846617+00
cozy big windows,2024-07-18 11:13:47.382428+00
Bosco sodi,2024-07-17 20:45:23.45321+00
coffee shop for reading,2024-07-17 17:39:55.14208+00
authentic ramen,2024-07-17 13:52:41.481113+00
cacio e pepe,2024-07-16 21:03:39.552865+00
big salad,2024-07-16 21:03:34.680777+00
cool under the radar dinner spot,2024-07-16 14:05:45.195012+00
cool undiscovered,2024-07-16 14:04:59.301448+00
camping,2024-07-15 22:31:44.371819+00
australian,2024-07-13 22:05:21.493301+00
courtyard,2024-07-13 21:03:04.603583+00
cafe where i can work,2024-07-13 17:53:13.949472+00
bars ,2024-07-13 17:08:27.124771+00
brunch fancy,2024-07-12 23:46:51.063455+00
burger and fries,2024-07-12 21:59:39.139861+00
bar with basement,2024-07-12 17:17:12.557961+00
bar with 2 floors,2024-07-12 17:16:43.900156+00
chill but cool bar for a date,2024-07-12 00:17:56.447454+00
brunch with reservations,2024-07-11 20:07:27.596891+00
cafe panna,2024-07-11 19:53:17.76867+00
cozy cafes,2024-07-11 06:55:36.199147+00
cool edgy restaurant ,2024-07-10 19:42:01.597696+00
birthday card,2024-07-10 16:44:13.820485+00
"520 W 43rd Street #7K, Manhattan, NY 10036 dog run near here",2024-07-10 07:44:07.053991+00
chill bar,2024-07-09 22:53:40.975441+00
coffee shop to work fro,2024-07-09 19:04:23.805497+00
cafes near union sq,2024-07-09 14:57:04.100053+00
chicken bar,2024-07-09 00:09:38.719908+00
brunch in williamsburg,2024-07-08 19:26:32.688865+00
$1 pizza,2024-07-07 03:11:47.138884+00
a cool rooftop,2024-07-07 01:54:55.052419+00
cody,2024-07-06 18:16:08.757705+00
bars with dancing,2024-07-06 12:45:40.059021+00
breakfast really fancy,2024-07-05 20:19:26.352957+00
bars for drinks and bites,2024-07-05 19:34:28.687971+00
bars for dancing,2024-07-05 19:33:56.939979+00
bar with dancing,2024-07-05 17:37:46.750494+00
clarks,2024-07-05 14:31:50.702037+00
buck mason,2024-07-05 04:15:34.949571+00
coworking argentina,2024-07-04 00:07:04.50142+00
cocktail bars to throw a party,2024-07-03 22:40:10.234586+00
center for fiction,2024-07-03 21:48:37.471804+00
buckwheat noodles soba,2024-07-03 18:30:35.34326+00
cozy cafe ,2024-07-03 15:23:37.768349+00
chill lunch spots,2024-07-03 14:34:05.264461+00
casual date night meal in east williamsburg,2024-07-03 11:28:59.900743+00
coffee with seating,2024-07-03 00:28:10.51489+00
cafe for coworking,2024-07-02 16:45:04.044501+00
bohemia,2024-06-30 21:30:18.657867+00
Apotheke NoMad,2024-06-30 16:11:21.821258+00
cosy cafe,2024-06-30 14:39:51.122445+00
cafe to read,2024-06-29 23:43:02.722877+00
coffee with outdoor patio,2024-06-29 17:24:33.606108+00
chill cocktails,2024-06-29 01:07:40.74921+00
coperni,2024-06-28 02:06:10.714731+00
american dinner,2024-06-27 23:46:30.036566+00
coffee shops to work out of,2024-06-27 18:17:14.675707+00
bayard sushi,2024-06-27 03:15:21.666883+00
bahn mi,2024-06-26 17:10:47.008161+00
casual vibey cocktails,2024-06-26 04:05:01.688952+00
beer garden,2024-06-26 01:52:46.406376+00
affordable dinner spots,2024-06-26 00:12:01.483396+00
bar and bites,2024-06-25 22:28:09.192717+00
best thai food,2024-06-25 04:13:09.315812+00
cafe leah,2024-06-24 19:59:27.053956+00
bar with chill vibes,2024-06-22 23:28:49.254299+00
chill bars,2024-06-22 23:28:14.04447+00
asian drinks,2024-06-22 22:42:46.714613+00
cafe  tea,2024-06-22 20:08:19.889956+00
cafe ,2024-06-22 20:07:56.610242+00
bright cafe laptop,2024-06-22 15:08:07.032852+00
casual first date,2024-06-21 19:33:29.45649+00
casual first date drinks but not too fancy,2024-06-20 15:59:31.229358+00
casual first date but not too fancy,2024-06-20 15:59:14.19652+00
breakfast near the met,2024-06-20 02:13:46.324006+00
brooklyn cafes,2024-06-20 02:05:27.739964+00
cafes in sf,2024-06-19 14:04:49.894125+00
bagels brooklyn,2024-06-16 23:29:16.863365+00
bagels nyc,2024-06-16 23:22:57.663659+00
cafe new york,2024-06-16 23:16:13.239178+00
comfy,2024-06-16 20:24:20.300515+00
coffee chat,2024-06-16 14:38:36.144895+00
crepes,2024-06-15 16:28:19.089079+00
catfish,2024-06-07 19:43:42.01183+00
affogato,2024-06-07 07:21:16.574312+00
cheap comfort food,2024-06-06 21:04:51.712316+00
787 coffee,2024-06-04 12:01:11.075429+00
calm sit down breakfast place,2024-06-02 16:26:04.200219+00
boutique,2024-05-31 15:06:35.721352+00
avocado,2024-05-29 18:06:23.510765+00
celebration,2024-05-29 16:25:30.035261+00
arab,2024-05-27 17:59:51.177071+00
central park cafe,2024-05-26 19:58:07.671491+00
cafes to co-work from,2024-05-26 19:54:34.864935+00
corona,2024-05-25 02:00:41.025104+00
authentic korean homestyle classics,2024-05-22 02:55:51.83295+00
art museum/gallery,2024-05-22 02:16:31.571353+00
aoyama farmers market,2024-05-21 00:24:20.225743+00
cafes with free wifi,2024-05-20 21:36:47.019595+00
black owned restaurant,2024-05-18 21:37:22.329017+00
chocolate chip cookie,2024-05-18 20:22:38.242318+00
bunch,2024-05-18 16:10:32.586625+00
bar kinky,2024-05-17 16:17:25.685743+00
concentrate and get work done,2024-05-15 19:03:49.102498+00
bachelorette dinner,2024-05-14 03:09:45.865257+00
cronut,2024-05-14 01:31:20.849186+00
clothes,2024-05-13 18:03:58.895754+00
coworker,2024-05-12 23:31:18.125987+00
best indian food,2024-05-12 23:22:32.301317+00
casual outdoor drinks,2024-05-11 21:36:11.976876+00
affordable dinner with good prices,2024-05-10 18:37:23.907476+00
budget dinner,2024-05-09 22:32:08.025224+00
coffee popup,2024-05-09 17:14:55.405177+00
cafe grumpy,2024-05-09 17:14:14.051988+00
bar pitti,2024-05-08 22:50:08.285601+00
cairo,2024-05-08 19:07:23.114593+00
annae,2024-05-07 04:40:53.308966+00
cheerful,2024-05-07 01:06:04.135967+00
californian food,2024-05-06 15:56:03.453733+00
coffeeshop,2024-05-06 10:53:15.028734+00
acai chicago,2024-05-06 01:17:30.348574+00
cafes for working,2024-05-05 15:50:10.219621+00
affordable dinner in nyc,2024-05-04 15:34:05.554833+00
coffee shpp,2024-05-04 14:25:56.283775+00
beer,2024-05-03 00:06:01.471286+00
authentic,2024-05-02 23:32:12.495956+00
breakfast around west villge,2024-05-02 23:23:37.843961+00
candlelit dinner,2024-05-01 18:53:46.237521+00
alterations,2024-05-01 18:49:57.308667+00
cafés to co-work from that has dull lighting and loud music,2024-05-01 13:03:58.010728+00
chill cafes,2024-05-01 04:07:40.623221+00
ample space,2024-04-30 03:01:50.6001+00
adorable,2024-04-28 13:44:37.230589+00
cozy cafe to study,2024-04-28 09:57:02.66623+00
best pastry,2024-04-27 04:47:32.114905+00
chinatown food,2024-04-25 20:25:23.532449+00
chill lounge thats beatiful,2024-04-24 02:21:49.473238+00
bar for a first date,2024-04-22 22:48:50.798045+00
clean,2024-04-21 18:31:49.603574+00
"a special place for dinner, its gotta he authentic, or trendy, or weird",2024-04-20 22:21:01.4365+00
contemporary,2024-04-20 01:48:35.954625+00
cafe in midtown,2024-04-18 17:30:14.141124+00
coffee to work at,2024-04-18 16:07:52.543266+00
best food near fairmont san francisco,2024-04-18 09:13:55.102214+00
birthday party spots,2024-04-18 00:53:08.545628+00
cheap solo eats,2024-04-18 00:42:15.771937+00
cafe near moma in nyc,2024-04-17 13:42:54.835777+00
barcelona,2024-04-17 13:26:38.290754+00
calm classy dinner spots,2024-04-16 22:01:59.733265+00
before dinner drinks,2024-04-16 20:17:59.890353+00
cafes in soho,2024-04-16 01:00:19.839329+00
afternoon snack,2024-04-15 20:53:02.528151+00
after work,2024-04-15 20:48:00.795266+00
coffee shop with seating,2024-04-12 21:21:05.484397+00
chic,2024-04-12 08:46:43.364046+00
coffee shop asian drinks,2024-04-10 17:54:27.304322+00
coffee shop late night wifi,2024-04-10 15:25:54.647346+00
asian coffee shop,2024-04-10 15:24:07.391054+00
cool outdoor bar,2024-04-09 21:41:07.307939+00
bars that also do food,2024-04-09 21:29:30.834131+00
bars that also do food in nomad,2024-04-09 21:29:14.325498+00
cafe with backyard,2024-04-09 15:13:37.044499+00
cafe work food,2024-04-09 14:13:37.937424+00
cafe dogs work,2024-04-09 14:12:46.006788+00
community,2024-04-09 02:17:20.652337+00
best bakery near me,2024-04-08 18:41:55.244753+00
best place to stay in nyc,2024-04-08 18:40:42.367532+00
coffee shop with good music,2024-04-08 17:45:47.641599+00
best coffee near me,2024-04-08 14:45:58.16885+00
bars to bring food to,2024-04-07 01:19:36.016314+00
board game shop,2024-04-06 18:36:51.748128+00
chill but trendy dinner,2024-04-05 23:20:52.052403+00
c offee,2024-04-05 15:28:11.591517+00
calm,2024-04-04 16:22:38.487841+00
beer bar,2024-04-03 17:26:39.823807+00
classy cheap spots for dinner,2024-04-02 22:56:49.428018+00
classy sit down cheap spots for dinner,2024-04-02 22:55:57.583645+00
bright cafe with outlets,2024-04-01 18:10:37.730314+00
casual drinks,2024-03-31 15:52:37.333286+00
cozy wine bar,2024-03-30 22:57:56.940209+00
cheap tasting menu,2024-03-30 22:53:28.906871+00
bar chill,2024-03-30 22:51:28.412222+00
arabic,2024-03-30 21:34:59.191676+00
breakfast diner,2024-03-30 13:51:32.415277+00
clay pot rice,2024-03-29 22:03:52.343545+00
chopped cheese,2024-03-29 20:58:07.583112+00
celebrity,2024-03-29 20:05:46.322089+00
bamboo steamer,2024-03-29 18:32:37.638053+00
co work,2024-03-28 19:35:13.068649+00
come back,2024-03-28 00:30:42.16426+00
casual place for dinner,2024-03-27 13:27:52.038333+00
bar to meet people,2024-03-27 13:27:36.790911+00
chocolate babka,2024-03-25 21:43:32.379373+00
brunch with a group,2024-03-25 01:42:07.518206+00
bakery cozy,2024-03-24 15:38:19.811595+00
bar dance,2024-03-23 22:42:42.458496+00
casual breakfast,2024-03-23 20:04:36.164659+00
cocktsip bar,2024-03-22 20:58:11.991688+00
beef and broccoli,2024-03-22 20:29:11.548385+00
cafés to meet and chat,2024-03-19 12:32:51.018007+00
bodega,2024-03-18 02:39:08.247714+00
arabica,2024-03-17 16:25:23.473952+00
camera,2024-03-16 18:58:02.382125+00
all day breakfast,2024-03-16 16:55:41.901776+00
artsy,2024-03-16 07:14:08.557627+00
club nyc,2024-03-15 23:55:40.57467+00
beers,2024-03-15 23:00:52.21855+00
buzzy,2024-03-15 08:06:06.342687+00
casual fast,2024-03-13 21:51:57.993565+00
cheap pasta,2024-03-13 21:45:50.605619+00
bar to dance,2024-03-10 03:05:10.827522+00
cozy beer,2024-03-09 22:40:44.760147+00
cozy pub,2024-03-09 22:30:58.045025+00
chill bar to get beers west village,2024-03-09 19:49:48.867113+00
couches,2024-03-08 17:34:00.637297+00
bar for date,2024-03-07 04:31:50.501174+00
bar with food,2024-03-07 04:11:44.29258+00
coffee for date,2024-03-06 10:26:17.734361+00
bicyclette,2024-03-03 15:55:39.814012+00
couch cafe,2024-03-03 15:50:56.769+00
black owned bars,2024-03-03 03:22:25.384025+00
chicken and waffels,2024-03-02 17:39:30.785533+00
austin,2024-02-29 19:19:25.781142+00
activities in nyc,2024-02-29 12:48:24.33696+00
coppola,2024-02-27 15:18:32.436455+00
bottomless brunch,2024-02-25 18:43:39.459019+00
aroma cafe,2024-02-24 20:18:32.183508+00
casual burger beer,2024-02-24 19:51:56.911388+00
brunch with friends,2024-02-22 22:20:16.617411+00
cheap bar for date,2024-02-21 01:56:37.567058+00
bar with cheap wine,2024-02-21 01:49:57.820064+00
cafes near lincoln center,2024-02-20 15:46:43.765157+00
burmese,2024-02-19 20:41:04.171689+00
butmese,2024-02-19 20:40:51.041674+00
bi level,2024-02-19 17:51:09.50349+00
cookies,2024-02-19 16:23:43.753453+00
camera shop,2024-02-18 21:43:41.70272+00
blind boxes,2024-02-18 20:53:43.123509+00
charming,2024-02-17 15:34:23.725705+00
bday,2024-02-16 21:02:50.413949+00
coffee shop with wifi,2024-02-16 14:36:35.031279+00
chicken tenders,2024-02-15 21:28:17.829173+00
apple store,2024-02-14 16:05:10.473357+00
cheap bar first date,2024-02-12 00:21:42.959085+00
bars for a date,2024-02-12 00:06:15.901223+00
ceramics,2024-02-10 21:14:24.290442+00
baking supplies,2024-02-10 20:06:10.987516+00
baking supploes,2024-02-10 20:03:15.135898+00
baking,2024-02-10 19:35:08.566934+00
coffee work spot,2024-02-10 14:32:26.823023+00
chill brunch,2024-02-10 04:12:49.000295+00
corkbuzz,2024-02-09 21:12:02.919863+00
bar union square,2024-02-09 20:51:50.236654+00
blueberry pancakes,2024-02-09 20:25:05.497657+00
alone,2024-02-08 22:29:25.977369+00
brunch japanese,2024-02-08 19:21:37.864287+00
cafe for a date french,2024-02-08 17:30:13.530868+00
cheap pizza,2024-02-07 22:58:06.025022+00
cool activities,2024-02-06 18:38:01.050743+00
bars with food,2024-02-06 16:28:50.761146+00
cafe for a night date,2024-02-05 17:32:55.247025+00
cafes like cafe reggio,2024-02-05 17:31:13.297+00
co working,2024-02-04 23:48:41.218076+00
asian fusion,2024-02-04 23:21:04.598599+00
cafe to read at,2024-02-03 16:41:12.437346+00
bar with pool,2024-02-03 13:55:42.465375+00
biang biang noodles,2024-02-02 23:17:37.394306+00
biang biang boodles,2024-02-02 23:16:42.320962+00
burger brooklyn,2024-01-31 22:08:21.106897+00
casual burger,2024-01-31 21:36:40.589564+00
bia,2024-01-30 22:45:08.88618+00
banh mi,2024-01-30 20:15:27.71365+00
coffee shop working,2024-01-30 14:40:29.678508+00
bar to play pool,2024-01-30 01:53:37.337329+00
bar for a date in williamsburg walking diztance from south greenpoint,2024-01-30 01:44:40.033544+00
breakfast in new york,2024-01-29 16:57:04.862686+00
breakfast nyc,2024-01-29 16:55:35.607058+00
australian breakfast,2024-01-29 06:09:40.231683+00
breakfast work,2024-01-29 06:05:53.843667+00
brealfast,2024-01-29 06:05:30.172182+00
bookstore bar,2024-01-28 01:29:23.650929+00
cafe bar,2024-01-28 01:28:14.195504+00
boardgame cafe,2024-01-28 00:29:04.048372+00
"156 delancey st, new york, ny 10002, united states",2024-01-27 19:11:57.392007+00
coffee to work inside with my dog,2024-01-27 18:19:03.628602+00
cool place in chinatown,2024-01-27 01:49:45.718861+00
blue hill,2024-01-26 02:02:24.103115+00
cake shop near me,2024-01-25 00:17:04.510151+00
cheap bar,2024-01-24 22:26:39.596042+00
chicken parmesan,2024-01-24 00:07:18.212974+00
acme,2024-01-23 22:41:28.379289+00
cafe couch,2024-01-22 15:49:03.80459+00
board games cafe,2024-01-21 22:14:20.744147+00
brooklyn,2024-01-21 03:43:26.464845+00
best dumplings in chinatown,2024-01-21 00:12:26.963638+00
burgers,2024-01-20 23:06:18.538934+00
broadway,2024-01-20 21:12:02.142879+00
chill happy hour,2024-01-20 20:40:52.768098+00
bushwick,2024-01-20 20:40:35.554423+00
bushwi,2024-01-20 20:40:32.233812+00
cozy lunch,2024-01-20 17:17:40.972895+00
chill but delicious food eoth friend,2024-01-19 16:44:11.779668+00
cheap cocktail bar,2024-01-18 19:35:52.710163+00
bar date affordable young,2024-01-18 19:29:51.005916+00
bar date,2024-01-18 19:29:31.920601+00
cafe for studying,2024-01-18 17:41:35.704102+00
crispy rice,2024-01-17 15:48:47.19259+00
cafe close to bryant park,2024-01-17 14:52:30.996897+00
congee,2024-01-16 19:34:48.965904+00
cool bar too catch yo with friends,2024-01-14 02:55:15.388165+00
boulevardier,2024-01-11 22:05:07.109753+00
cool place to grab a small bite to eat,2024-01-10 22:58:33.778444+00
asian trendy,2024-01-10 19:21:00.64901+00
886,2024-01-10 19:19:52.092517+00
copenhagen,2024-01-09 23:37:16.216209+00
bar midtown,2024-01-09 15:29:50.980329+00
cheesecake,2024-01-09 12:30:45.775415+00
aesthetic cafes,2024-01-08 18:36:44.39618+00
country music,2024-01-04 05:46:03.94596+00
country,2024-01-04 05:43:34.802737+00
cph girl,2024-01-02 23:47:58.661684+00
client dinner,2024-01-02 23:11:03.299621+00
breakfast cute cozy,2024-01-02 13:46:58.522481+00
cafe with plants to work from cute brooklyn,2024-01-02 13:30:04.951692+00
cafe with plants to work from cute,2024-01-02 13:29:01.815385+00
cheap couple date,2024-01-02 06:06:45.883304+00
american breakfast,2024-01-01 18:15:23.801268+00
beautiful interior,2023-12-30 23:20:46.260922+00
baguette,2023-12-30 16:41:51.793354+00
cheese,2023-12-30 16:37:43.899433+00
best bar,2023-12-30 02:51:11.310488+00
casual eat,2023-12-28 22:00:03.132399+00
best matcha in the city,2023-12-26 04:35:09.621423+00
contemplative,2023-12-25 21:54:40.046748+00
best pizza on the upper east side,2023-12-24 02:27:54.804189+00
bar and arcade,2023-12-22 00:26:54.296975+00
bar cade,2023-12-22 00:26:42.494821+00
2023 new restaurants,2023-12-21 23:41:29.305606+00
best rating sushi,2023-12-21 10:50:47.836488+00
anime,2023-12-21 07:26:49.806394+00
10 west 10,2023-12-21 01:41:56.105327+00
cafes to cowork in noisily,2023-12-20 00:44:15.326306+00
art deco architecture,2023-12-18 16:47:49.461523+00
chill and cheap,2023-12-16 23:27:50.560219+00
afrobeats,2023-12-16 05:00:07.796907+00
abc book club,2023-12-16 00:56:56.531354+00
a walk in restaurant,2023-12-16 00:14:19.57891+00
casual bite,2023-12-14 22:33:28.905913+00
cheap beer,2023-12-14 19:27:04.528995+00
best noodles,2023-12-13 23:03:51.831601+00
book coffee,2023-12-13 19:28:45.808918+00
cool outdoor activites,2023-12-13 16:06:18.428238+00
christmas holiday,2023-12-12 23:35:53.968385+00
best sichuan,2023-12-12 20:59:58.792275+00
aesthetic,2023-12-10 19:13:16.413825+00
counter serve lunch,2023-12-10 16:05:14.350324+00
cafés to work from,2023-12-10 15:50:54.231798+00
butcher,2023-12-09 23:59:05.500543+00
chinese places,2023-12-09 23:23:21.512848+00
cheesecske,2023-12-09 21:50:34.190125+00
cafe to study in,2023-12-09 20:26:31.66902+00
coffee shop with seating and chill vibe,2023-12-09 13:25:57.868949+00
affordable brunch where i can get last-minute reservation,2023-12-09 12:37:55.421693+00
brunch where i can get last-minute reservation,2023-12-09 12:37:05.19973+00
cafe to sit at,2023-12-09 12:36:13.419846+00
cafe to study,2023-12-08 23:04:29.062814+00
cozy bookshop,2023-12-08 15:33:20.930932+00
best spa in italy,2023-12-08 02:55:58.707536+00
cafes/spaces to sit with a laptop for the morning/early afternoon in the winter,2023-12-07 23:52:42.661362+00
a good massage,2023-12-07 19:30:11.914603+00
cakes,2023-12-06 12:54:07.005717+00
brunch for vegetarian,2023-12-05 23:40:02.940716+00
cozy bowl of soup,2023-12-03 20:01:44.671332+00
breakfat,2023-12-03 17:37:15.074083+00
ciffee,2023-12-02 05:14:56.728451+00
bacan bistro,2023-12-02 04:50:11.421134+00
cozy date night spot that has non alcoholic options,2023-12-02 00:54:36.101015+00
cozy place to go at night,2023-12-02 00:52:54.778724+00
cool girl brunch,2023-12-01 20:56:52.061123+00
brothy,2023-12-01 15:53:54.061584+00
bar hopping,2023-11-30 16:37:27.861861+00
bar hop,2023-11-30 16:37:08.58931+00
cozy cafe for reading,2023-11-30 05:15:14.362625+00
cozy coffee shop to work from,2023-11-30 04:38:49.467901+00
breakfast sandwiches,2023-11-29 16:20:12.739614+00
coffee shop for meeting,2023-11-29 15:42:23.603216+00
adventure experience,2023-11-28 22:34:42.498266+00
cozy cafe for working,2023-11-28 17:13:19.485246+00
chill vibes,2023-11-28 02:56:53.57366+00
$5 beer dive bars that are busy but not well known,2023-11-27 03:41:52.382644+00
country bar,2023-11-25 05:33:04.165803+00
cafes that feel like romantic french movies,2023-11-24 19:58:25.914792+00
cafe with pastries,2023-11-23 16:14:20.434515+00
cool mens streetwear,2023-11-23 05:53:38.033881+00
casual asian dinner,2023-11-23 00:21:38.988872+00
cafe to grab a bite,2023-11-22 21:01:44.069554+00
